#{"t_start": 1619618626.907761, "env_id": null}
r,l,t
-6310.25,60,19.957588
-6182.74,60,20.022603
-6253.86,60,20.086618
-6258.19,60,20.150632
-6138.46,60,20.214646
-6201.36,60,20.27867
-6216.41,60,20.342675
-6122.28,60,20.4117
-6328.42,60,20.475705
-6195.82,60,20.539719
-6332.87,60,20.604734
-6119.38,60,20.666748
-6364.61,60,20.730762
-6245.12,60,20.793777
-6168.31,60,20.857791
-6078.89,60,20.922805
-6343.47,60,20.98682
-6142.12,60,21.049843
-6465.63,60,21.113848
-6379.98,60,21.175862
-6549.84,60,21.239877
-6506.85,60,21.306892
-6187.46,60,21.370906
-6277.94,60,21.439922
-6258.98,60,21.504936
-6340.45,60,21.567951
-6153.35,60,21.630965
-6195.85,60,21.69498
-6342.41,60,21.759994
-6050.47,60,21.823009
-6348.71,60,21.887032
-6282.71,60,21.951037
-6195.29,60,22.015052
-6313.76,60,22.079067
-6421.67,60,22.144081
-6168.87,60,22.207096
-6357.49,60,22.272109
-6252.74,60,22.335124
-6230.18,60,22.400147
-6201.79,60,22.465153
-6389.16,60,22.534169
-6266.35,60,22.599183
-6364.56,60,22.663197
-6274.1,60,22.728212
-6108.03,60,22.792227
-6210.98,60,22.857241
-6390.96,60,22.922256
-6294.61,60,22.98627
-6185.88,60,23.051286
-6341.31,60,23.1153
-6241.74,60,23.178314
-6287.07,60,23.242329
-6237.9,60,23.306343
-6282.27,60,23.370366
-6246.8,60,23.434371
-6189.44,60,23.498386
-6208.72,60,23.5614
-6398.3,60,23.628415
-6257.58,60,23.694431
-6350.33,60,23.757444
-6275.29,60,23.822459
-6224.47,60,23.885473
-6204.83,60,23.948488
-6115.89,60,24.015511
-6107.83,60,24.081517
-6281.27,60,24.144531
-6204.6,60,24.208546
-6260.37,60,24.27356
-6229.09,60,24.338575
-6327.02,60,24.401588
-6110.62,60,24.464603
-6227.95,60,24.527617
-6229.93,60,24.592633
-6193.03,60,24.663648
-6062.68,60,24.727663
-6138.3,60,24.791677
-6187.71,60,24.854701
-6261.2,60,24.919706
-6195.08,60,24.98472
-6299.88,60,25.049736
-6193.51,60,25.113749
-6109.44,60,25.178765
-6092.72,60,25.244779
-6129.57,60,25.309794
-6172.07,60,25.373808
-6272.08,60,25.438823
-6301.92,60,25.504838
-6121.76,60,25.568852
-6181.01,60,25.631875
-6367.54,60,25.699881
-6307.35,60,25.768897
-6281.13,60,25.833911
-6264.17,60,25.897926
-6204.64,60,25.96195
-6020.03,60,26.025956
-6162.47,60,26.08997
-6213.84,60,26.153985
-6152.39,60,26.217999
-6174.89,60,26.282013
-6246.54,60,26.345036
-6117.93,60,26.408041
-6163.93,60,26.473056
-6246.52,60,26.53707
-6299.37,60,26.600094
-6271.81,60,26.6671
-6220.94,60,26.732114
-6175.63,60,26.797129
-6216.35,60,26.866144
-6280.78,60,26.930159
-6293.85,60,26.994174
-6256.76,60,27.059188
-6206.37,60,27.123202
