#{"t_start": 1619618739.0488622, "env_id": null}
r,l,t
-5666.28,60,33.856819
-5695.27,60,33.988849
-5629.71,60,34.120879
-5618.27,60,34.25491
-5639.64,60,34.388939
-5666.01,60,34.52297
-5586.0,60,34.657
-5763.03,60,34.810034
-5571.78,60,34.951066
-5581.12,60,35.0991
-5613.74,60,35.248133
-5661.2,60,35.389164
-5607.97,60,35.522195
-5680.25,60,35.654224
-5581.79,60,35.786254
-5561.15,60,35.919284
-5603.7,60,36.054314
-5600.32,60,36.187344
-5653.2,60,36.321374
-5581.45,60,36.453405
-5741.07,60,36.586434
-5662.9,60,36.719464
-5643.56,60,36.852496
-5648.94,60,37.000528
-5645.77,60,37.136558
-5694.16,60,37.272589
-5607.94,60,37.406619
-5701.83,60,37.553158
-5637.83,60,37.703191
-5766.97,60,37.847224
-5740.49,60,37.993257
-5743.09,60,38.12629
-5682.04,60,38.25832
-5576.39,60,38.391363
-5559.38,60,38.524179
-5661.59,60,38.656209
-5664.12,60,38.788242
-5725.66,60,38.919736
-5683.49,60,39.052916
-5649.15,60,39.187532
-5635.67,60,39.326563
-5620.93,60,39.460594
-5624.06,60,39.596624
-5663.27,60,39.730655
-5608.9,60,39.870686
-5666.9,60,40.007717
-5609.09,60,40.148749
-5570.47,60,40.28578
-5612.92,60,40.41981
-5564.78,60,40.55384
-5729.12,60,40.685869
-5653.19,60,40.8189
-5672.34,60,40.949929
-5620.32,60,41.08296
-5588.82,60,41.216989
-5630.4,60,41.349019
-5675.2,60,41.481048
-5700.2,60,41.62008
-5641.28,60,41.75411
-5685.9,60,41.892953
-5673.86,60,42.024981
-5682.63,60,42.158011
-5805.57,60,42.291042
-5649.69,60,42.425072
-5667.89,60,42.560102
-5708.75,60,42.695316
-5661.91,60,42.832347
-5673.6,60,42.965321
-5679.95,60,43.100205
-5797.19,60,43.233281
-5772.99,60,43.365359
-5726.84,60,43.498382
-5736.5,60,43.633594
-5717.69,60,43.771625
-5758.46,60,43.903781
-5649.4,60,44.03681
-5627.71,60,44.170657
-5662.91,60,44.303782
-5711.75,60,44.435789
-5646.81,60,44.567818
-5685.42,60,44.699848
-5712.79,60,44.831789
-5676.23,60,44.964819
-5830.13,60,45.104783
-5821.47,60,45.239789
-5819.19,60,45.374758
-5743.21,60,45.510782
-5742.88,60,45.646791
-5786.76,60,45.781821
-5808.97,60,45.913797
-5751.3,60,46.049828
-5730.89,60,46.183779
-5743.33,60,46.319239
-5695.03,60,46.450267
-5830.98,60,46.583297
-5675.03,60,46.716328
-5786.77,60,46.849358
-5807.38,60,46.981387
-5684.95,60,47.114417
-5910.48,60,47.246447
-5872.66,60,47.378477
-5714.61,60,47.510506
-5881.28,60,47.644537
-5737.38,60,47.778567
-5763.9,60,47.913597
-5785.84,60,48.048628
-5861.05,60,48.183658
-5718.49,60,48.32369
-5682.39,60,48.458722
-5835.05,60,48.59175
-5752.66,60,48.72378
-5847.19,60,48.855809
-5699.52,60,48.987839
-5896.02,60,49.121869
-5746.31,60,49.253899
-5882.57,60,49.386929
-5867.99,60,49.518958
-5864.08,60,49.653989
-5827.83,60,49.787019
-5925.04,60,49.92405
-5916.65,60,50.05808
-5868.51,60,50.197112
-5870.93,60,50.328141
-5837.03,60,50.466172
-5759.41,60,50.600203
-5982.15,60,50.735234
-5967.02,60,50.871264
-5871.75,60,51.006294
-6002.81,60,51.141324
-5833.59,60,51.273354
-5961.21,60,51.406384
-5853.33,60,51.537414
-5907.89,60,51.670443
-5806.32,60,51.802473
-5810.66,60,51.940505
-5832.25,60,52.073534
-5885.34,60,52.208565
-5914.51,60,52.340595
-5905.63,60,52.473626
-5883.53,60,52.604654
-6053.9,60,52.743686
-6076.14,60,52.875715
-6116.94,60,53.007745
-6112.75,60,53.146777
-6034.6,60,53.280806
-6021.6,60,53.413836
-5991.61,60,53.547866
-6012.35,60,53.683897
-5964.11,60,53.819928
-5917.98,60,53.951957
-5890.01,60,54.083987
-5965.43,60,54.217017
-5946.37,60,54.349047
-5946.01,60,54.481077
-5922.17,60,54.613107
-5887.48,60,54.744136
-5873.32,60,54.875165
-6029.45,60,55.014196
-6037.07,60,55.153229
-5963.08,60,55.284258
-5988.9,60,55.415288
-5944.66,60,55.547317
-5986.87,60,55.682347
-5989.39,60,55.816377
-5906.46,60,55.950408
-5978.22,60,56.084438
-6008.11,60,56.220469
-6055.84,60,56.355499
-6024.21,60,56.489529
-6012.44,60,56.62256
-6026.56,60,56.755589
-6012.63,60,56.888619
-6053.06,60,57.021649
-6015.34,60,57.15868
-6022.29,60,57.29071
-6000.47,60,57.42374
-6093.72,60,57.55677
-6016.23,60,57.6898
-5965.9,60,57.82283
-5960.05,60,57.954859
-6055.67,60,58.087889
-5937.53,60,58.220919
-5930.37,60,58.352949
-6025.47,60,58.484979
-5908.4,60,58.618008
-5927.29,60,58.754039
-5974.44,60,58.88807
-5984.02,60,59.023101
-6063.55,60,59.160131
-5966.99,60,59.29316
-5972.0,60,59.431192
-5990.84,60,59.563222
-6082.03,60,59.696252
-6066.13,60,59.829282
-6038.25,60,59.965312
-6031.96,60,60.102343
-6026.11,60,60.241374
-5998.68,60,60.371404
-6030.71,60,60.505434
-5994.29,60,60.639464
-5922.7,60,60.771493
-6069.67,60,60.902524
-6038.37,60,61.033553
-6042.07,60,61.168583
-6087.22,60,61.301613
-6042.55,60,61.436644
-6076.95,60,61.571674
-6060.02,60,61.712706
-6040.49,60,61.847736
-6095.66,60,61.987767
