#{"t_start": 1619618349.1137214, "env_id": null}
r,l,t
-6364.12,60,19.454535
-6185.57,60,19.52255
-6463.43,60,19.590566
-6287.94,60,19.65658
-6198.41,60,19.723596
-6183.21,60,19.79261
-6355.17,60,19.859625
-6257.72,60,19.929641
-6426.31,60,19.996657
-6268.82,60,20.06267
-6088.85,60,20.128687
-6277.38,60,20.194701
-6385.62,60,20.262717
-6252.92,60,20.328731
-6172.21,60,20.396747
-6292.32,60,20.463762
-6476.25,60,20.530777
-5990.69,60,20.595791
-6164.35,60,20.660806
-6419.8,60,20.728821
-6423.55,60,20.794836
-6503.93,60,20.862851
-6323.97,60,20.928866
-6385.11,60,21.000882
-6280.03,60,21.066906
-6528.21,60,21.133913
-6488.51,60,21.199928
-6372.17,60,21.265942
-6173.63,60,21.332958
-6348.15,60,21.400972
-6236.59,60,21.466988
-6411.77,60,21.534003
-6319.92,60,21.601018
-6423.91,60,21.667032
-6339.56,60,21.734048
-6095.85,60,21.807064
-6234.74,60,21.873079
-6190.1,60,21.939103
-6116.82,60,22.006109
-6151.32,60,22.072124
-6272.15,60,22.145141
-6168.42,60,22.212156
-6082.92,60,22.280171
-6079.29,60,22.348187
-6180.32,60,22.417201
-6183.79,60,22.484217
-6323.39,60,22.552232
-6143.06,60,22.621247
-6258.66,60,22.686262
-6196.73,60,22.753277
-6281.94,60,22.818292
-6165.84,60,22.884307
-6091.91,60,22.950323
-6264.82,60,23.016337
-6408.39,60,23.084352
-6247.66,60,23.150367
-6228.89,60,23.21658
-6038.68,60,23.287398
-6123.41,60,23.356413
-6153.92,60,23.422428
-6092.97,60,23.488444
-6158.28,60,23.556458
-6133.33,60,23.621473
-6091.1,60,23.688488
-6096.84,60,23.753502
-6203.37,60,23.820518
-6226.76,60,23.885532
-6256.28,60,23.951548
-6292.67,60,24.017562
-6236.01,60,24.084577
-6378.21,60,24.150593
-6247.67,60,24.216606
-6106.91,60,24.282622
-6263.2,60,24.354638
-6250.26,60,24.419653
-6116.03,60,24.487669
-6199.08,60,24.553684
-6319.4,60,24.620698
-6183.83,60,24.686712
-6142.23,60,24.754728
-6230.33,60,24.820743
-6344.1,60,24.887758
-6179.89,60,24.954774
-6004.87,60,25.022789
-6178.42,60,25.091804
-6087.83,60,25.15882
-6196.6,60,25.224836
-6079.15,60,25.29085
-6099.65,60,25.357864
-6206.56,60,25.423879
-6222.26,60,25.494894
-6219.23,60,25.562003
-6215.35,60,25.629925
-6262.23,60,25.69694
-6309.08,60,25.762964
-6172.32,60,25.829971
-6198.48,60,25.895985
-6207.17,60,25.963001
