#{"t_start": 1619618464.0768766, "env_id": null}
r,l,t
-6065.75,60,26.500422
-6118.58,60,26.606446
-6004.53,60,26.691465
-6156.99,60,26.785486
-6046.46,60,26.882508
-6099.34,60,26.968528
-6047.55,60,27.06755
-6117.47,60,27.167573
-6137.94,60,27.2516
-6132.57,60,27.335611
-6249.16,60,27.426631
-6004.62,60,27.517651
-6243.53,60,27.60267
-6156.32,60,27.698692
-6187.58,60,27.800715
-6287.78,60,27.893736
-6155.83,60,27.994759
-6110.05,60,28.101783
-6098.12,60,28.197805
-6226.09,60,28.290826
-6090.35,60,28.40286
-6180.17,60,28.492871
-6194.69,60,28.592893
-6154.89,60,28.698918
-6119.13,60,28.799941
-6069.73,60,28.896962
-6052.63,60,28.992984
-6199.03,60,29.088005
-6051.16,60,29.186027
-6113.52,60,29.281049
-6149.4,60,29.369068
-6233.01,60,29.462089
-6025.98,60,29.55611
-6135.36,60,29.653414
-6183.37,60,29.751675
-6021.18,60,29.838695
-6208.48,60,29.94772
-6198.89,60,30.03396
-6102.27,60,30.129828
-6089.33,60,30.215147
-6194.11,60,30.31617
-6080.34,60,30.412191
-6242.59,60,30.497211
-6165.26,60,30.58523
-6072.38,60,30.674251
-6162.48,60,30.768281
-6406.08,60,30.855291
-6202.53,60,30.948311
-6052.61,60,31.047344
-6097.94,60,31.131354
-6349.74,60,31.225375
-6168.59,60,31.333399
-6090.85,60,31.436422
-6243.41,60,31.526442
-6222.81,60,31.60646
-6304.78,60,31.694481
-6334.27,60,31.7835
-6059.9,60,31.874521
-6176.67,60,31.969542
-6049.0,60,32.063563
-6232.29,60,32.162585
-6172.22,60,32.254606
-6273.89,60,32.347627
-6110.38,60,32.455651
-6204.01,60,32.545672
-6189.31,60,32.647695
-6277.57,60,32.743717
-6203.0,60,32.844739
-6100.02,60,32.93976
-6321.38,60,33.045785
-6133.07,60,33.141806
-6241.12,60,33.240828
-6162.9,60,33.347854
-6238.29,60,33.458877
-6254.77,60,33.551898
-6304.41,60,33.653922
-6201.28,60,33.751943
-6355.12,60,33.840963
-6277.13,60,33.944988
-6259.1,60,34.040009
-6213.68,60,34.13603
-6356.87,60,34.230051
-6204.6,60,34.317071
-6565.69,60,34.411092
-6230.4,60,34.508114
-6189.73,60,34.603135
-6226.73,60,34.692155
-6340.19,60,34.790178
-6319.25,60,34.883198
-6295.32,60,34.984222
-6435.1,60,35.080243
-6318.8,60,35.174264
-6362.63,60,35.271285
-6223.39,60,35.361306
-6249.59,60,35.447326
-6335.04,60,35.545348
-6371.02,60,35.64337
-6534.87,60,35.743392
-6229.09,60,35.839413
-6386.6,60,35.935437
-6402.57,60,36.027456
-6299.92,60,36.116476
-6286.47,60,36.219499
-6216.42,60,36.324524
-6244.93,60,36.420545
-6327.3,60,36.514566
-6397.39,60,36.605587
-6410.29,60,36.70561
-6309.66,60,36.802631
-6344.11,60,36.910655
-6247.42,60,37.004676
-6454.36,60,37.099697
-6301.9,60,37.187718
-6106.87,60,37.284739
-6408.78,60,37.381761
-6296.37,60,37.472782
