#{"t_start": 1619618964.7059286, "env_id": null}
r,l,t
-5899.91,60,0.716161
-5877.75,60,0.800197
-5900.69,60,0.914208
-5868.95,60,1.035234
-6003.36,60,1.455329
-5903.25,60,1.529346
-5977.32,60,1.598361
-5968.92,60,1.672378
-5894.12,60,1.801407
-5980.15,60,1.888426
-5832.81,60,1.995451
-5956.95,60,2.093474
-6000.08,60,2.2145
-5978.36,60,2.274512
-6066.69,60,2.333536
-5961.18,60,2.39355
-6043.18,60,2.487561
-5883.8,60,2.587584
-5955.15,60,2.644596
-5929.58,60,2.710611
-5863.06,60,2.778628
-5955.04,60,2.896661
-5976.98,60,2.95967
-5943.2,60,3.033686
-5872.15,60,3.108703
-5886.27,60,3.23774
-5890.21,60,3.294749
-5972.98,60,3.345753
-5966.03,60,3.402766
-6111.47,60,3.497787
-5864.66,60,3.550799
-6011.14,60,3.603812
-5943.27,60,3.656824
-5920.08,60,3.715838
-5990.25,60,3.810867
-6082.88,60,3.876873
-5956.22,60,3.95189
-5858.57,60,4.001901
-5810.62,60,4.089921
-6085.78,60,4.140947
-6002.82,60,4.200948
-5959.66,60,4.269964
-5970.65,60,4.369985
-5996.97,60,4.420996
-5937.94,60,4.476009
-6005.08,60,4.52802
-5931.87,60,4.621041
-5912.66,60,4.674053
-5972.4,60,4.726064
-5997.11,60,4.776077
-6030.64,60,4.845105
-6046.24,60,4.966122
-5988.75,60,5.039136
-6102.71,60,5.109152
-6183.9,60,5.176168
-6133.16,60,5.291193
-6106.77,60,5.350205
-6110.22,60,5.408218
-6212.95,60,5.478234
-6021.13,60,5.579257
-6099.29,60,5.641281
-6103.44,60,5.713289
-5962.71,60,5.80731
-6004.62,60,5.881325
-6001.22,60,5.99135
-6050.96,60,6.045362
-5994.38,60,6.107376
-6067.92,60,6.164389
-5987.14,60,6.26141
-5856.18,60,6.320424
-6051.36,60,6.379436
-6024.34,60,6.43745
-6194.64,60,6.537472
-5921.56,60,6.589485
-6202.06,60,6.644497
-6162.61,60,6.716524
-6089.79,60,6.822537
-5918.52,60,6.876549
-6087.51,60,6.926561
-5870.93,60,6.980583
-6035.98,60,7.030583
-6040.07,60,7.124615
-6172.72,60,7.182618
-6032.24,60,7.241642
-6168.08,60,7.323651
-6055.17,60,7.486689
-6173.77,60,7.605714
-6109.63,60,7.696735
-5928.73,60,7.778752
-6174.41,60,7.949801
-6067.16,60,8.043814
-6064.88,60,8.145837
-6031.77,60,8.239858
-5915.73,60,8.370887
-6189.43,60,8.470927
-6079.89,60,8.57095
-6151.92,60,8.646959
-6062.69,60,8.702971
-6110.78,60,8.804994
-6178.41,60,8.876999
-6073.2,60,8.991026
-5948.09,60,9.063052
-6000.86,60,9.203075
-6119.18,60,9.281109
-6204.29,60,9.356108
-6129.1,60,9.425126
-6104.62,60,9.557155
-6058.01,60,9.640173
-6168.45,60,9.71719
-5909.57,60,9.810212
-6023.63,60,9.983251
-5959.96,60,10.042262
-6057.6,60,10.101286
-6012.65,60,10.157288
-6113.04,60,10.2113
-5892.8,60,10.307322
-6166.02,60,10.364336
-6033.87,60,10.442353
-6087.1,60,10.540393
-6050.7,60,10.696412
-6010.96,60,10.784429
-6078.78,60,10.864447
-6103.27,60,10.949478
-6105.56,60,11.119504
-6114.47,60,11.202523
-6010.81,60,11.27955
-6190.86,60,11.360569
-5989.71,60,11.431574
-6094.39,60,11.526597
-6124.64,60,11.576608
-6069.17,60,11.628619
-6111.88,60,11.680631
-6202.03,60,11.771651
-6106.88,60,11.827666
-6126.39,60,11.887681
-6231.81,60,11.947692
-6207.89,60,12.037712
-6119.55,60,12.100726
-6160.33,60,12.172745
-6124.1,60,12.247761
-5962.62,60,12.392811
-6056.63,60,12.472811
-6091.29,60,12.562849
-6110.68,60,12.663871
-6092.31,60,12.78088
-6027.28,60,12.952918
-6003.74,60,13.035936
-6052.09,60,13.124956
-6012.81,60,13.209975
-6007.57,60,13.366013
-6063.65,60,13.470037
-5982.28,60,13.551071
-6130.18,60,13.634074
-5866.27,60,13.79811
-6036.49,60,13.882129
-5969.58,60,13.989152
-6093.89,60,14.088174
-5950.6,60,14.242227
-5884.77,60,14.346233
-6089.87,60,14.434253
-6025.63,60,14.516273
-5951.11,60,14.601291
-5974.47,60,14.737337
-5931.62,60,14.81834
-6003.04,60,14.891355
-5956.27,60,14.982392
-6037.79,60,15.13541
-5892.65,60,15.253447
-6156.86,60,15.361463
-5992.7,60,15.473486
-5998.53,60,15.566509
-5917.91,60,15.617518
-6035.98,60,15.671531
-5959.81,60,15.737548
-6029.75,60,15.89222
-5969.42,60,16.002713
-5821.48,60,16.090731
-5990.23,60,16.183939
-6032.17,60,16.298981
-5883.09,60,16.497024
-5954.09,60,16.597046
-5957.68,60,16.671078
-5890.27,60,16.772084
-5991.43,60,16.968129
-5948.37,60,17.055167
-5948.04,60,17.137166
-5884.44,60,17.220187
-5932.64,60,17.387224
-6014.98,60,17.483246
-5951.11,60,17.556261
-5984.26,60,17.634279
-6065.48,60,17.709296
-5951.28,60,17.887355
-5932.93,60,17.984358
-5875.91,60,18.064376
-5941.31,60,18.155403
-5866.69,60,18.307448
-5989.28,60,18.402454
-5894.54,60,18.511478
-5988.94,60,18.609499
-5944.23,60,18.783556
-5915.31,60,18.892563
-6018.66,60,18.983584
-5914.68,60,19.071602
-5889.34,60,19.191629
-5817.26,60,19.248642
-5960.93,60,19.311656
-5828.9,60,19.376671
-6060.18,60,19.451689
-5869.98,60,19.604724
-5816.0,60,19.695743
-5919.49,60,19.782764
-5895.04,60,19.871783
-6008.14,60,19.976806
-5979.89,60,20.035821
-5901.68,60,20.093845
-5995.52,60,20.160849
-5880.92,60,20.26087
-5802.71,60,20.314882
-5894.3,60,20.367894
-5863.26,60,20.421906
-5834.42,60,20.515928
-5904.28,60,20.567949
-5947.51,60,20.619951
-5883.22,60,20.670962
-5941.72,60,20.721974
-5805.31,60,20.820006
-5996.35,60,20.886012
-5835.51,60,20.979043
-5931.55,60,21.091947
-5844.08,60,21.246983
-5817.23,60,21.313997
-5867.58,60,21.388014
-5963.11,60,21.478033
-5964.68,60,21.64291
-5803.01,60,21.738932
-6023.36,60,21.862977
-5893.91,60,21.968983
-5971.03,60,22.117015
-5987.03,60,22.200036
-6014.31,60,22.292057
-5988.97,60,22.39512
-5916.68,60,22.468119
-6021.7,60,22.588146
-5845.67,60,22.659162
-5892.09,60,22.744205
-6036.32,60,22.820706
-5999.26,60,22.979749
-6001.45,60,23.05975
-5820.71,60,23.138723
-5916.48,60,23.213702
-5853.9,60,23.353735
-5779.7,60,23.469719
-5884.58,60,23.583719
-5855.88,60,23.669654
-5878.89,60,23.755709
-5948.17,60,23.905558
-5870.61,60,23.992577
-6011.43,60,24.048659
-5822.92,60,24.108796
-5911.31,60,24.219701
-5870.52,60,24.290717
-5849.28,60,24.395721
-5986.27,60,24.499707
-5871.46,60,24.665124
-5860.94,60,24.786152
-5906.9,60,24.936185
-5966.13,60,25.029215
-5765.17,60,25.199245
-5851.54,60,25.289264
-6041.96,60,25.386287
-5990.42,60,25.473306
-5959.67,60,25.567336
-5869.81,60,25.691357
-5942.66,60,25.765372
-5846.24,60,25.833388
-5792.8,60,25.901407
-5923.64,60,26.079443
-5855.45,60,26.176465
-5936.83,60,26.271486
-5956.32,60,26.358505
-5847.61,60,26.515541
-5870.97,60,26.620564
-6070.74,60,26.754613
-5826.37,60,26.833613
-5952.29,60,26.998651
-5899.9,60,27.116679
-5826.77,60,27.234705
-5851.41,60,27.338728
-5794.4,60,27.432749
-5802.2,60,27.620791
-5829.29,60,27.727815
-5779.23,60,27.847843
-5790.53,60,27.967873
-5683.42,60,28.151911
-5822.91,60,28.220927
-5862.28,60,28.299945
-5720.4,60,28.368961
-5739.23,60,28.508989
-5836.63,60,28.602029
-5754.17,60,28.748046
-5664.75,60,28.867072
-5866.74,60,29.041109
-5787.29,60,29.13113
-5909.6,60,29.212149
-5916.76,60,29.287174
-5800.66,60,29.39119
-5757.97,60,29.562229
-5817.97,60,29.630243
-5774.22,60,29.704261
-5818.33,60,29.769275
-5773.55,60,29.903306
-5731.04,60,29.997326
-5788.27,60,30.087347
-5728.16,60,30.179367
-5751.28,60,30.280389
-5740.82,60,30.355405
-5705.63,60,30.413419
-5732.04,60,30.471432
-5805.24,60,30.536446
-5748.91,60,30.642481
-5787.71,60,30.701483
-5779.4,60,30.761498
-5873.15,60,30.830513
-5733.18,60,30.933537
-5918.75,60,30.988548
-5825.41,60,31.04157
-5772.16,60,31.093571
-5789.45,60,31.180591
-5981.63,60,31.235603
-5829.75,60,31.30362
-5874.46,60,31.381638
-5885.77,60,31.516667
-5880.72,60,31.604686
-5864.41,60,31.680713
-5799.87,60,31.79373
-5872.89,60,31.905754
-5838.8,60,32.031783
-5861.64,60,32.092797
-5913.78,60,32.143808
-5806.76,60,32.19582
-5832.86,60,32.292842
-5814.46,60,32.36286
-5843.89,60,32.440879
-5810.5,60,32.531905
-5916.48,60,32.67994
-5852.14,60,32.760947
-5837.4,60,32.842965
-5837.17,60,32.940989
-5882.06,60,33.110037
-5743.78,60,33.249063
-5781.56,60,33.364101
-5800.92,60,33.450104
-5676.3,60,33.52012
-5795.7,60,33.665152
-5784.59,60,33.764173
-5744.22,60,33.855194
-5838.4,60,33.939214
-5777.85,60,34.108252
-5749.68,60,34.204274
-5814.53,60,34.313316
-5684.95,60,34.411321
-5734.01,60,34.588377
-5883.09,60,34.679382
-5827.58,60,34.745395
-5758.98,60,34.816413
-5841.39,60,34.993452
-5837.38,60,35.07347
-5717.69,60,35.15949
-5918.66,60,35.240508
-5791.57,60,35.333527
-5765.26,60,35.508568
-5824.28,60,35.631595
-5740.86,60,35.712612
-5840.04,60,35.805632
-5794.65,60,35.903655
-5825.15,60,35.962668
-5743.68,60,36.019681
-5789.32,60,36.100702
-5795.0,60,36.254753
-5885.63,60,36.362761
-5743.61,60,36.437778
-5838.34,60,36.547803
-5804.65,60,36.670833
-5806.71,60,36.831883
-5837.81,60,36.918884
-5835.03,60,37.000903
-5803.02,60,37.092925
-5786.55,60,37.218952
-5888.92,60,37.288969
-5940.82,60,37.352983
-5905.53,60,37.457008
-5733.44,60,37.622044
-5806.96,60,37.708064
-5876.72,60,37.793083
-5792.38,60,37.902107
-5762.47,60,38.096151
-5834.54,60,38.197176
-5771.01,60,38.266188
-5795.68,60,38.346209
-5824.13,60,38.444243
-5929.37,60,38.556254
-5859.85,60,38.619269
-5821.73,60,38.682283
-5904.91,60,38.749297
-5812.86,60,38.859321
-5726.13,60,38.915334
-5868.28,60,38.969346
-5765.44,60,39.024358
-5817.67,60,39.12238
-5882.15,60,39.177393
-5835.5,60,39.233408
-5930.36,60,39.290419
-5815.13,60,39.38944
-5840.18,60,39.440451
-5897.45,60,39.495464
-5867.55,60,39.551476
-5838.1,60,39.601488
-5842.75,60,39.69651
-5846.32,60,39.785532
-5881.53,60,39.870551
-5803.8,60,39.956568
-5852.59,60,40.05259
-5914.05,60,40.111604
-5842.68,60,40.167615
-5805.1,60,40.224629
-5945.01,60,40.319651
-5784.71,60,40.370661
-5833.21,60,40.432675
-5847.11,60,40.487687
-5845.19,60,40.580709
-5803.92,60,40.633721
-5862.01,60,40.684732
-5789.38,60,40.741745
-5820.41,60,40.795758
-5891.94,60,40.890779
-5858.22,60,40.948801
-5882.97,60,41.005805
-5847.3,60,41.059816
-5857.98,60,41.152838
-5834.2,60,41.207859
-5766.4,60,41.262863
-5877.49,60,41.317875
-5895.49,60,41.411896
-5856.25,60,41.467908
-5822.24,60,41.519921
-5902.84,60,41.573932
-5825.69,60,41.624944
-5848.97,60,41.709964
-5833.1,60,41.759984
-5894.38,60,41.814986
-5921.13,60,41.864003
-5871.1,60,41.954018
-5838.12,60,42.006029
-5819.7,60,42.05604
-5896.11,60,42.107053
-5828.04,60,42.193071
-5824.77,60,42.244084
-5875.55,60,42.295095
-5800.91,60,42.343106
-5833.61,60,42.428125
-5915.3,60,42.478136
-5944.19,60,42.527147
-5886.63,60,42.578159
-5978.8,60,42.62817
-5906.61,60,42.716189
-5896.36,60,42.776204
-5910.15,60,42.825214
-5869.79,60,42.875225
-5819.99,60,42.959245
-5968.78,60,43.010256
-5901.34,60,43.060267
-5880.25,60,43.111279
-5942.13,60,43.196298
-5927.55,60,43.24631
-5935.59,60,43.298321
-5959.56,60,43.348332
-6065.91,60,43.434352
-5991.54,60,43.485362
-5958.09,60,43.536376
-6022.93,60,43.585385
-5947.29,60,43.635397
-6004.7,60,43.723417
-5986.43,60,43.778429
-5906.99,60,43.82844
-5981.98,60,43.878452
-5910.89,60,43.968472
-6008.27,60,44.020484
-5916.32,60,44.071495
-5979.83,60,44.122506
-5965.93,60,44.208527
-5996.02,60,44.258537
-6039.21,60,44.308548
-6054.05,60,44.35756
-6031.37,60,44.441578
-5991.26,60,44.49159
-5906.92,60,44.540602
-6071.3,60,44.591613
-5935.09,60,44.641623
-5971.87,60,44.726644
-6000.99,60,44.781655
-5971.11,60,44.833668
-6011.56,60,44.900695
-6027.96,60,45.02271
-6010.51,60,45.081723
-5984.66,60,45.137735
-6024.86,60,45.205751
-5824.62,60,45.35679
-5893.0,60,45.464811
-5997.94,60,45.570836
-6019.41,60,45.655851
-5849.98,60,45.712866
-6026.75,60,45.810898
-5963.41,60,45.890905
-5925.65,60,45.960921
-5957.02,60,46.018933
-5905.55,60,46.115955
-5930.06,60,46.165966
-5960.45,60,46.215977
-5872.31,60,46.27099
-5885.79,60,46.358011
-5927.79,60,46.409022
-5896.02,60,46.464034
-5909.35,60,46.519047
-6028.5,60,46.604066
-5905.58,60,46.654076
-5865.79,60,46.703088
-5808.33,60,46.753099
-5884.29,60,46.804111
-5986.89,60,46.89013
-5898.81,60,46.939141
-5929.52,60,46.988152
-5895.72,60,47.036163
-5985.46,60,47.125184
-5919.89,60,47.176195
-6017.5,60,47.224205
-6047.49,60,47.274216
-5952.42,60,47.356236
-5859.19,60,47.406249
-5895.86,60,47.456259
-6012.29,60,47.505269
-5890.98,60,47.591289
-5968.3,60,47.640299
-5964.8,60,47.689309
-5887.88,60,47.739322
-5890.48,60,47.788332
-5926.18,60,47.872351
-5988.51,60,47.922362
-5964.17,60,47.973374
-6015.48,60,48.022384
-5848.31,60,48.113405
-5861.16,60,48.163417
-5969.37,60,48.212428
-6002.33,60,48.264439
-5893.62,60,48.348458
-5929.95,60,48.396469
-6016.72,60,48.447481
-5976.14,60,48.497492
-5974.36,60,48.581511
-5952.41,60,48.631522
-5942.69,60,48.679533
-5900.92,60,48.729553
-6008.21,60,48.778555
-6134.87,60,48.863583
-5893.7,60,48.914586
-6047.04,60,48.964597
-6032.7,60,49.021609
-6037.57,60,49.107629
-5963.44,60,49.158641
-5954.07,60,49.209652
-5977.28,60,49.261664
-6036.05,60,49.346692
-5966.58,60,49.396694
-5883.03,60,49.447706
-5930.91,60,49.496717
-6050.49,60,49.545729
-5925.12,60,49.628746
-5977.62,60,49.677757
-5926.12,60,49.727769
-5980.4,60,49.776789
-5903.56,60,49.861799
-5939.07,60,49.90981
-6115.68,60,49.962822
-5975.88,60,50.017835
-5996.82,60,50.102854
-5986.73,60,50.151865
-6030.69,60,50.200875
-6022.15,60,50.252888
-5963.21,60,50.336907
-6065.93,60,50.385917
-5900.04,60,50.436929
-5929.79,60,50.485941
-6137.54,60,50.536951
-6044.98,60,50.62097
-6019.45,60,50.670982
-5988.83,60,50.721993
-6114.3,60,50.772006
-6026.71,60,50.868026
-5932.54,60,50.923039
-5878.0,60,50.977051
-6031.1,60,51.037065
-6064.55,60,51.128085
-6066.12,60,51.179106
-6024.25,60,51.231108
-5927.68,60,51.282119
-6065.28,60,51.370139
-6045.65,60,51.42216
-6008.92,60,51.480164
-5975.97,60,51.543188
-6165.97,60,51.600191
-6037.44,60,51.695213
-5883.06,60,51.752226
-5961.55,60,51.810238
-6012.76,60,51.863261
-5954.47,60,51.956271
-6106.92,60,52.009284
-5955.19,60,52.066297
-5991.85,60,52.119308
-5938.82,60,52.209328
-6196.95,60,52.261339
-6091.88,60,52.315352
-6016.14,60,52.367363
-5963.19,60,52.458385
-6005.05,60,52.508396
-6088.21,60,52.562407
-5983.37,60,52.610418
-6072.96,60,52.66443
-6094.66,60,52.754451
-6131.33,60,52.806463
-6139.39,60,52.861485
-5953.01,60,52.914489
-5998.97,60,53.006508
-6183.03,60,53.061531
-6041.19,60,53.119534
-6134.64,60,53.171546
-6047.75,60,53.259565
-6101.26,60,53.311577
-5921.01,60,53.363588
-6050.3,60,53.4136
-6014.62,60,53.468612
-6068.6,60,53.562139
-5999.4,60,53.612367
-6044.6,60,53.66238
-6064.8,60,53.711655
-6056.55,60,53.795673
-6041.03,60,53.844763
-6009.41,60,53.892774
-6042.84,60,53.943789
-5951.62,60,54.031809
-6052.03,60,54.08082
-6102.18,60,54.134609
-5990.04,60,54.214667
-6101.97,60,54.345636
-5967.38,60,54.430669
-6110.59,60,54.509334
-6057.36,60,54.579341
-6059.76,60,54.655358
-5969.34,60,54.784387
-5922.8,60,54.859404
-6007.54,60,54.956426
-5976.95,60,55.051449
-5949.16,60,55.211485
-5987.73,60,55.296504
-5972.36,60,55.39454
-6147.18,60,55.481555
-6022.99,60,55.582566
-6193.29,60,55.648582
-6049.03,60,55.705595
-6165.0,60,55.759608
-6053.58,60,55.855629
-6000.15,60,55.922649
-6050.15,60,55.999679
-6109.94,60,56.065679
-6147.1,60,56.12769
-6166.7,60,56.230713
-6095.88,60,56.288726
-6173.3,60,56.340738
-6155.81,60,56.39275
-6032.82,60,56.487771
-6154.32,60,56.548785
-6223.96,60,56.605798
-5941.96,60,56.66381
-6078.44,60,56.803859
-6157.97,60,56.902866
-6154.49,60,56.983884
-5924.18,60,57.062902
-6052.68,60,57.216936
-6041.03,60,57.297956
-6117.52,60,57.380975
-6216.53,60,57.472995
-6110.68,60,57.54101
-6293.24,60,57.646036
-6092.34,60,57.70305
-6194.18,60,57.760067
-6167.3,60,57.816083
-6137.68,60,57.908111
-6166.67,60,57.961123
-6004.17,60,58.01015
-6066.88,60,58.067162
-6171.46,60,58.188206
-6336.45,60,58.26124
-6256.36,60,58.327716
-6161.66,60,58.39373
-6352.94,60,58.467748
-6173.44,60,58.607711
-6478.33,60,58.687714
-6047.07,60,58.79872
-6183.51,60,58.87959
-6070.31,60,59.032725
-6247.73,60,59.113713
-6008.39,60,59.203717
-6139.28,60,59.273713
-6236.67,60,59.426703
-6141.41,60,59.505715
-6161.87,60,59.564708
-6254.57,60,59.629721
-6049.75,60,59.756706
-6049.73,60,59.8327
-6092.39,60,59.911721
-6141.1,60,60.008582
-6228.97,60,60.107696
-6221.0,60,60.25073
-6239.16,60,60.326702
-6248.02,60,60.419701
-6264.08,60,60.527704
-6074.22,60,60.686738
-6318.98,60,60.799847
-6068.88,60,60.918699
-6233.11,60,61.021702
-6216.28,60,61.175711
-6260.71,60,61.294754
-6285.69,60,61.40376
-6259.1,60,61.50772
-6098.79,60,61.685713
-6190.23,60,61.800737
-6121.92,60,61.922701
-6331.31,60,62.025699
-6396.0,60,62.109715
-6074.79,60,62.280644
-6035.64,60,62.372662
-6175.9,60,62.491716
-6143.38,60,62.573735
-6199.89,60,62.712705
-6067.78,60,62.796714
-6058.67,60,62.890719
-6114.04,60,62.989714
-6085.42,60,63.150721
-6095.36,60,63.232702
-6176.3,60,63.306696
-6145.2,60,63.37171
-6100.47,60,63.493736
-6061.43,60,63.547748
-5979.81,60,63.60176
-6097.68,60,63.657662
-6122.64,60,63.717676
-5978.86,60,63.8257
-6058.93,60,63.876712
-6130.97,60,63.933735
-6136.3,60,63.997738
-5986.44,60,64.099761
-6060.75,60,64.153702
-6047.07,60,64.212708
-6080.16,60,64.271711
-5998.38,60,64.369731
-6164.06,60,64.427695
-6059.89,60,64.491718
-6074.44,60,64.581719
-6236.16,60,64.65273
-6027.91,60,64.807698
-5964.0,60,64.879711
-6092.98,60,64.961692
-6044.03,60,65.04671
-6062.07,60,65.186741
-6080.39,60,65.302721
-6052.95,60,65.401733
-6113.34,60,65.503717
-6126.55,60,65.653706
-6231.55,60,65.760728
-6107.29,60,65.855751
-6054.73,60,65.945699
-6133.8,60,66.116703
-6078.46,60,66.175705
-6084.9,60,66.237697
-6155.26,60,66.299712
-6044.07,60,66.351583
-6100.89,60,66.442603
-6119.65,60,66.50969
-6085.08,60,66.583716
-6124.08,60,66.651709
-6144.56,60,66.824701
-6083.41,60,66.938702
-6104.81,60,67.023721
-6136.23,60,67.113632
-6216.47,60,67.275668
-6204.99,60,67.383694
-6219.86,60,67.471729
-6122.75,60,67.553734
-6117.79,60,67.708552
-6055.6,60,67.799572
-6099.13,60,67.865589
-6175.73,60,67.953605
-6120.94,60,68.012624
-6139.7,60,68.114642
-6120.73,60,68.170655
-6047.57,60,68.222693
-6230.21,60,68.277705
-6087.39,60,68.373726
-6072.75,60,68.430695
-6162.04,60,68.493709
-6331.02,60,68.555702
-6335.74,60,68.655702
-6165.91,60,68.713714
-6097.0,60,68.778729
